system:index,NDSI,doy,lat,long,name,year,.geo
2016_01_22_5,,22.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_23_0,,23.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_23_1,,23.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_23_2,,23.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_23_3,,23.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_23_4,,23.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_23_5,,23.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_24_0,,24.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_24_1,,24.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_24_2,,24.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_24_3,,24.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_24_4,,24.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_24_5,,24.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_25_0,,25.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_25_1,,25.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_25_2,,25.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_25_3,,25.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_25_4,,25.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_25_5,,25.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_26_0,,26.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_26_1,,26.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_26_2,,26.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_26_3,,26.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_26_4,,26.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_26_5,,26.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_27_0,,27.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_27_1,,27.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_27_2,,27.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_27_3,,27.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_27_4,,27.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_27_5,,27.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_28_0,,28.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_28_1,,28.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_28_2,,28.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_28_3,,28.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_28_4,,28.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_28_5,,28.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_29_0,,29.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_29_1,,29.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_29_2,,29.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_29_3,,29.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_29_4,,29.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_29_5,,29.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_30_0,,30.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_30_1,,30.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_30_2,,30.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_30_3,,30.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_30_4,,30.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_30_5,,30.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_01_31_0,,31.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_01_31_1,,31.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_01_31_2,,31.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_01_31_3,,31.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_01_31_4,,31.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_01_31_5,,31.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_02_01_0,,32.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_02_01_1,,32.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_02_01_2,,32.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_02_01_3,,32.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_02_01_4,,32.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_02_01_5,,32.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
2016_02_02_0,,33.0,69.5756,-138.9046,Phenocam1,2016.0,"{""type"":""Point"",""coordinates"":[-138.9046,69.5756]}"
2016_02_02_1,,33.0,69.5757,-138.90525,Phenocam2,2016.0,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
2016_02_02_2,,33.0,69.57781,-138.91277,Phenocam3,2016.0,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
2016_02_02_3,,33.0,69.57515,-138.89453,Phenocam4,2016.0,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
2016_02_02_4,,33.0,69.57651,-138.86711,Phenocam5,2016.0,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
2016_02_02_5,,33.0,69.57483,-138.86305,Phenocam6,2016.0,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
