system:index,B11,B3,B3_20m,B4,B4_20m,B8,B8_20m,CLP,CLP_20m,EPSG,NDSI_20m,NDVI,NDVI_20m,doi,kNDVI,kNDVI_20m,lat,long,name,year,.geo
20160423T213524_20160423T232407_T07WET_1,579,8281,8278,8969,8982,8495,8447,0,0,32607,0.8692559557412216,-0.027141548327989005,-0.03069596649262723,114,7.36663512384688E-4,9.422420800691807E-4,69.57781,-138.91277,Phenocam2,2016,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
20160423T213524_20160423T232407_T07WET_2,632,7820,7847,8481,8486,7980,7999,0,0,32607,0.8509258167236703,-0.030435574995443776,-0.02954200788595693,114,9.263239603510019E-4,8.727300083600061E-4,69.57515,-138.89453,Phenocam3,2016,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
20160423T213524_20160423T232407_T07WET_3,647,7831,7866,8525,8588,8106,8156,0,0,32607,0.8479971807823329,-0.025193914978053032,-0.025800286669851888,114,6.34733266679561E-4,6.656546939301621E-4,69.57651,-138.86711,Phenocam4,2016,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
20160423T213524_20160423T232407_T07WET_4,598,7804,7801,8529,8559,8028,8095,0,0,32607,0.8576020954875581,-0.03025910491030984,-0.027861174492614386,114,9.156131741056747E-4,7.762448881974792E-4,69.57483,-138.86305,Phenocam5,2016,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
20160423T213524_20160423T232407_T07WET_5,596,8315,8402,9126,9197,8463,8579,0,0,32607,0.8675261169148699,-0.037694013303769404,-0.034765976597659766,114,0.001420837682824153,0.0012086725402095796,69.5757,-138.90525,Phenocam6,2016,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20160424T210546_20160424T224402_T07WET_0,4839,7817,7809,8400,8375,8030,7975,99,99,32607,0.23481973434535106,-0.02251978088861838,-0.024464831804281346,115,5.071404877939717E-4,5.98527923740409E-4,69.5757,-138.90525,Phenocam1,2016,"{""type"":""Point"",""coordinates"":[-138.90525,69.5757]}"
20160424T210546_20160424T224402_T07WET_1,4200,7421,7440,7889,7911,7298,7365,100,100,32607,0.27835051546391754,-0.038914861394613816,-0.03574234092694423,115,0.0015143652797280024,0.00127751423995133,69.57781,-138.91277,Phenocam2,2016,"{""type"":""Point"",""coordinates"":[-138.91277,69.57781]}"
20160424T210546_20160424T224402_T07WET_2,4096,7493,7491,7998,8009,7463,7506,99,99,32607,0.2930007767325451,-0.03460319513614902,-0.032420238478891396,115,0.0011973805413937075,0.0010510714759704256,69.57515,-138.89453,Phenocam3,2016,"{""type"":""Point"",""coordinates"":[-138.89453,69.57515]}"
20160424T210546_20160424T224402_T07WET_3,4740,7573,7593,8137,8150,7683,7714,97,98,32607,0.23133057650206762,-0.028697850821744628,-0.027483610690872417,115,8.235664555891698E-4,7.553487129522289E-4,69.57651,-138.86711,Phenocam4,2016,"{""type"":""Point"",""coordinates"":[-138.86711,69.57651]}"
20160424T210546_20160424T224402_T07WET_4,4043,7268,7286,7810,7766,7316,7272,100,100,32607,0.2862565098419984,-0.03265899775221473,-0.03285011304694773,115,0.0010666097297004592,0.001079129508307476,69.57483,-138.86305,Phenocam5,2016,"{""type"":""Point"",""coordinates"":[-138.86305,69.57483]}"
